model_name,dropout,filtres_1,filtres_2,kernel_1,kernel_2,activation_1,activation_2,activation_3,epochs_effectuees,best_val_loss,best_val_acc,test_loss,test_acc
"conv_4relu-8relu_dropout_0.5relu_kernel_(4, 4)_(3, 3)",0.5,4,8,"(4, 4)","(3, 3)",relu,relu,relu,7,1.159309983253479,0.8403333425521851,1.2408638000488281,0.829200029373169
"conv_4relu-8relu_dropout_0.5softmax_kernel_(4, 4)_(3, 3)",0.5,4,8,"(4, 4)","(3, 3)",relu,relu,softmax,18,0.06104971095919609,0.9824444651603699,0.056817155331373215,0.9811999797821045
"conv_4relu-8softmax_dropout_0.5relu_kernel_(4, 4)_(3, 3)",0.5,4,8,"(4, 4)","(3, 3)",relu,softmax,relu,8,1.1446977853775024,0.8478888869285583,1.1642792224884033,0.8378999829292297
"conv_4softmax-8relu_dropout_0.5relu_kernel_(4, 4)_(3, 3)",0.5,4,8,"(4, 4)","(3, 3)",softmax,relu,relu,16,1.120254397392273,0.8463333249092102,1.2123959064483643,0.789900004863739
"conv_4relu-8softmax_dropout_0.5softmax_kernel_(4, 4)_(3, 3)",0.5,4,8,"(4, 4)","(3, 3)",relu,softmax,softmax,18,0.05257764086127281,0.984000027179718,0.05405362695455551,0.9829000234603882
"conv_4softmax-8relu_dropout_0.5relu_kernel_(4, 4)_(3, 3)",0.5,4,8,"(4, 4)","(3, 3)",softmax,relu,relu,9,1.1762679815292358,0.8420000076293945,1.2384690046310425,0.695900022983551
"conv_4softmax-8softmax_dropout_0.5relu_kernel_(4, 4)_(3, 3)",0.5,4,8,"(4, 4)","(3, 3)",softmax,softmax,relu,17,0.9251748919487,0.8767777681350708,1.0189093351364136,0.8557000160217285
"conv_4softmax-8softmax_dropout_0.5softmax_kernel_(4, 4)_(3, 3)",0.5,4,8,"(4, 4)","(3, 3)",softmax,softmax,softmax,18,0.057599689811468124,0.9836666584014893,0.05517358332872391,0.9812999963760376
"conv_4relu-8relu_dropout_0.5relu_kernel_(5, 5)_(3, 3)",0.5,4,8,"(5, 5)","(3, 3)",relu,relu,relu,5,1.1520565748214722,0.8399999737739563,1.1356619596481323,0.8424000144004822
"conv_4relu-8relu_dropout_0.5softmax_kernel_(5, 5)_(3, 3)",0.5,4,8,"(5, 5)","(3, 3)",relu,relu,softmax,20,0.05723486468195915,0.9833333492279053,0.05532266944646835,0.9825000166893005
"conv_4relu-8softmax_dropout_0.5relu_kernel_(5, 5)_(3, 3)",0.5,4,8,"(5, 5)","(3, 3)",relu,softmax,relu,5,1.0623035430908203,0.8625555634498596,1.1809839010238647,0.843999981880188
"conv_4softmax-8relu_dropout_0.5relu_kernel_(5, 5)_(3, 3)",0.5,4,8,"(5, 5)","(3, 3)",softmax,relu,relu,5,1.175482988357544,0.7957777976989746,1.263927936553955,0.7912999987602234
"conv_4relu-8softmax_dropout_0.5softmax_kernel_(5, 5)_(3, 3)",0.5,4,8,"(5, 5)","(3, 3)",relu,softmax,softmax,20,0.046891964972019196,0.9872221946716309,0.04576072841882706,0.9848999977111816
"conv_4softmax-8relu_dropout_0.5relu_kernel_(5, 5)_(3, 3)",0.5,4,8,"(5, 5)","(3, 3)",softmax,relu,relu,8,1.0486196279525757,0.8416666388511658,1.083509922027588,0.8087000250816345
"conv_4softmax-8softmax_dropout_0.5relu_kernel_(5, 5)_(3, 3)",0.5,4,8,"(5, 5)","(3, 3)",softmax,softmax,relu,5,1.2640001773834229,0.8383333086967468,1.2617501020431519,0.8303999900817871
"conv_4softmax-8softmax_dropout_0.5softmax_kernel_(5, 5)_(3, 3)",0.5,4,8,"(5, 5)","(3, 3)",softmax,softmax,softmax,20,0.05340462550520897,0.9856666922569275,0.048914238810539246,0.9842000007629395
"conv_4relu-8relu_dropout_0.5relu_kernel_(5, 5)_(4, 4)",0.5,4,8,"(5, 5)","(4, 4)",relu,relu,relu,12,0.9938037395477295,0.8733333349227905,1.0191134214401245,0.8590999841690063
"conv_4relu-8relu_dropout_0.5softmax_kernel_(5, 5)_(4, 4)",0.5,4,8,"(5, 5)","(4, 4)",relu,relu,softmax,16,0.060135260224342346,0.9826666712760925,0.0579281747341156,0.9812999963760376
"conv_4relu-8softmax_dropout_0.5relu_kernel_(5, 5)_(4, 4)",0.5,4,8,"(5, 5)","(4, 4)",relu,softmax,relu,18,0.7317877411842346,0.8896666765213013,0.8514885902404785,0.8769000172615051
"conv_4softmax-8relu_dropout_0.5relu_kernel_(5, 5)_(4, 4)",0.5,4,8,"(5, 5)","(4, 4)",softmax,relu,relu,8,1.3365530967712402,0.8187777996063232,1.3556480407714844,0.8172000050544739
"conv_4relu-8softmax_dropout_0.5softmax_kernel_(5, 5)_(4, 4)",0.5,4,8,"(5, 5)","(4, 4)",relu,softmax,softmax,12,0.06787553429603577,0.9792222380638123,0.06206823140382767,0.9812999963760376
"conv_4softmax-8relu_dropout_0.5relu_kernel_(5, 5)_(4, 4)",0.5,4,8,"(5, 5)","(4, 4)",softmax,relu,relu,7,1.0538877248764038,0.863111138343811,1.0677320957183838,0.8569999933242798
"conv_4softmax-8softmax_dropout_0.5relu_kernel_(5, 5)_(4, 4)",0.5,4,8,"(5, 5)","(4, 4)",softmax,softmax,relu,8,1.189546823501587,0.8510000109672546,1.1584175825119019,0.8371999859809875
"conv_4softmax-8softmax_dropout_0.5softmax_kernel_(5, 5)_(4, 4)",0.5,4,8,"(5, 5)","(4, 4)",softmax,softmax,softmax,13,0.07003466784954071,0.9807778000831604,0.0675511509180069,0.977400004863739
"conv_8relu-16relu_dropout_0.5relu_kernel_(2, 2)_(2, 2)",0.5,8,16,"(2, 2)","(2, 2)",relu,relu,relu,4,2.2808380126953125,0.27266666293144226,2.283249616622925,0.10639999806880951
